threshold_eur_mwh,full_load_hours,annual_h2_tonnes,lcoh_eur_kg,capex_per_kg,opex_per_kg,elec_per_kg,water_per_kg
20,7448,1894.3990476191073,4.082089823680557,1.0962021802964717,0.6651185776215292,2.2907690657647115,0.03
25,7548,2005.5485714286501,3.9250421564126103,1.0354495502805647,0.6282570354815393,2.231335570652463,0.03
30,7730,2159.266476190579,3.752941308165959,0.9617360289941064,0.5835314973365016,2.1776737818370884,0.03
35,7903,2323.2076190477464,3.6120368846151596,0.893869471383197,0.5423535932257566,2.14581382000776,0.03
40,8131,2504.4979047620654,3.4959096167112858,0.8291659427636502,0.503094850909729,2.1336488230393025,0.03
45,8287,2650.3280000001823,3.427954507384582,0.7835424016768798,0.4754128545598557,2.1389992511491394,0.029999999999999995
50,8389,2762.88285714306,3.3907645523016265,0.7516222995060183,0.4560453935795506,2.1530968592172846,0.03
55,8488,2875.738095238322,3.366663489744209,0.7221256935011414,0.43814838426570263,2.1763894119785356,0.03
60,8571,2983.7782857145376,3.354706817608824,0.6959781081235137,0.42228338681614297,2.206445322670291,0.03
65,8642,3099.3125714288435,3.3523361115207546,0.6700338602486459,0.40654176400772496,2.245760487265465,0.03
70,8687,3188.1240000002863,3.3577419991968127,0.651368756783437,0.39521674815656066,2.281156494257868,0.03
75,8712,3254.03657142887,3.3670691239281454,0.638174870124387,0.3872113826448869,2.311682871159906,0.029999999999999995
80,8738,3301.807809524117,3.3771013390513187,0.6289416241495072,0.38160912829799176,2.3365505866048424,0.03
85,8751,3325.9413333336443,3.383785634777852,0.6243779304038929,0.37884011584085336,2.350567588534123,0.03
90,8759,3334.7609523812644,3.386853429555337,0.6227266049966035,0.3778381773063126,2.356288647253436,0.03
95,8760,3337.14285714317,3.387898657428531,0.6222821303279114,0.3775684931506495,2.3580480339509857,0.029999999999999995
100,8760,3337.14285714317,3.387898657428531,0.6222821303279114,0.3775684931506495,2.3580480339509857,0.029999999999999995
105,8760,3337.14285714317,3.387898657428531,0.6222821303279114,0.3775684931506495,2.3580480339509857,0.029999999999999995
